battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,,,kits,BRL,Neosolar,NEO-22308,,,,,1,"Kit Gerador Energia Solar 0,55 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova",,,0,55,55.0,550,0,,,draft,Solar Kit|Neosolar,0,1,56,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22312,,,,,1,"Kit Gerador Energia Solar 1,10 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Madeira)",,,0,10,10.0,1100,0,,,draft,Solar Kit|Neosolar,0,1,12,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22321,,,,,1,"Kit Gerador Energia Solar 1,65 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Solo)",,,0,65,65.0,1650,0,,,draft,Solar Kit|Neosolar,0,1,68,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22217,,,,,1,"Kit Gerador Energia Solar 1,10 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Madeira)",,,0,10,10.0,1100,0,,,draft,Solar Kit|Neosolar,0,1,12,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22183,,,,,1,"Kit Gerador Energia Solar 1,74 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Madeira)",,,0,74,74.0,1740,0,,,draft,Solar Kit|Neosolar,0,1,77,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22185,,,,,1,"Kit Gerador Energia Solar 1,74 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Solo)",,,0,74,74.0,1740,0,,,draft,Solar Kit|Neosolar,0,1,77,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22318,,,,,1,"Kit Gerador Energia Solar 1,65 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Mini Trilho)",,,0,65,65.0,1650,0,,,draft,Solar Kit|Neosolar,0,1,68,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22300,,,,,1,"Kit Gerador Energia Solar 2,32 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Solo)",,,0,32,32.0,2320,0,,,draft,Solar Kit|Neosolar,0,1,36,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22325,,,,,1,"Kit Gerador Energia Solar 2,20 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Mini Trilho)",,,0,20,20.0,2200,0,,,draft,Solar Kit|Neosolar,0,1,24,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22310,,,,,1,"Kit Gerador Energia Solar 1,10 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Cerâmica)",,,0,10,10.0,1100,0,,,draft,Solar Kit|Neosolar,0,1,12,0,Solar Kit Grid-Tie
