CNPJ;Sigla;Razão Social;Ativo;Distribuição;Geração;Transmissão;Comercialização;Estados Atendidos;Total Municípios;Lat Mínima;Lat Máxima;Lng Mínima;Lng Máxima;Lat Centro;Lng Centro;Tarifa Vigência Início;Tarifa Vigência Fim;Tarifa Modalidade;Tarifa Valor kWh;Projetos GD Total;Projetos GD Classe;Projetos GD Tipos;Mercado Anual Estimado
10835932000108;Neoenergia PE;COMPANHIA ENERGETICA DE PERNAMBUCO;Sim;Sim;Sim;Não;Não;RS;381;-31.0346;-29.0346;-52.2177;-50.2177;-30.0346;-51.2177;;;;;16000.0;;;R$ 7.2M
5938444000196;CERR;COMPANHIA ENERGETICA DE RORAIMA;Sim;Sim;Sim;Não;Não;RS;381;-31.0346;-29.0346;-52.2177;-50.2177;-30.0346;-51.2177;;;;;16000.0;;;R$ 7.2M
7047251000170;ENEL CE;COMPANHIA ENERGETICA DO CEARA;Sim;Sim;Não;Não;Não;SP, CE, RJ, GO;515;-24.5505;-2.7172;-50.2648;-37.5434;-16.71535;-44.4036;;;;;45000.0;;;R$ 20.25M
8324196000181;COSERN;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;Sim;Sim;Não;Não;Não;RS;381;-31.0346;-29.0346;-52.2177;-50.2177;-30.0346;-51.2177;;;;;16000.0;;;R$ 7.2M
8467115000100;CEEE-D;COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE-D;Sim;Sim;Não;Não;Sim;;0;;;;;;;;;;;;;;
77882504000107;CFLO;COMPANHIA FORCA E LUZ DO OESTE;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
1377555000110;CHESP;COMPANHIA HIDROELETRICA SAO PATRICIO - CHESP;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
53859112000169;CPFL JAGUARI;COMPANHIA JAGUARI DE ENERGIA;Sim;Sim;Sim;Não;Não;SP;234;-23.9099;-21.9099;-48.0626;-46.0626;-22.9099;-47.0626;;;;;32000.0;;;R$ 14.4M
61015582000174;CPFL LESTE PAULI;COMPANHIA LESTE PAULISTA DE ENERGIA;Sim;Sim;Sim;Não;Não;SP;234;-23.9099;-21.9099;-48.0626;-46.0626;-22.9099;-47.0626;;;;;32000.0;;;R$ 14.4M
52503802000118;CPFL MOCOCA;COMPANHIA LUZ E FORCA DE MOCOCA;Sim;Sim;Sim;Não;Não;SP;234;-23.9099;-21.9099;-48.0626;-46.0626;-22.9099;-47.0626;;;;;32000.0;;;R$ 14.4M
61116265000144;CPFL SANTA CRUZ;COMPANHIA LUZ E FORCA SANTA CRUZ;Sim;Sim;Não;Não;Não;SP;234;-23.9099;-21.9099;-48.0626;-46.0626;-22.9099;-47.0626;;;;;32000.0;;;R$ 14.4M
61416244000144;CNEE;COMPANHIA NACIONAL DE ENERGIA ELETRICA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
33050196000188;CPFL-PAULISTA;COMPANHIA PAULISTA DE FORCA E LUZ;Sim;Sim;Sim;Não;Não;SP;234;-23.9099;-21.9099;-48.0626;-46.0626;-22.9099;-47.0626;;;;;32000.0;;;R$ 14.4M
4172213000151;CPFL-PIRATINING;COMPANHIA PIRATININGA DE FORCA E LUZ;Sim;Sim;Não;Não;Não;SP;234;-23.9099;-21.9099;-48.0626;-46.0626;-22.9099;-47.0626;;;;;32000.0;;;R$ 14.4M
