distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_inverters_IIN00318,SOLIS ON-GRID 15KW - 380V - 2 MPPT - AFCI (S5-GR3P15K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 15KW - 380V - 2 MPPT - AFCI (S5-GR3P15K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00305,SOLIS ON-GRID 7.5KW - 220V - 2 MPPT - AFCI (S6-GR1P7.5K2),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 7.5KW - 220V - 2 MPPT - AFCI (S6-GR1P7.5K2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00304,SOLIS ON-GRID 6KW - 220V - 2 MPPT - AFCI (S6-GR1P6K-S),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 6KW - 220V - 2 MPPT - AFCI (S6-GR1P6K-S),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00303,SOLIS ON-GRID 5KW - 220V - 2 MPPT - AFCI (S6-GR1P5K-S),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 5KW - 220V - 2 MPPT - AFCI (S6-GR1P5K-S),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00302,SOLIS ON-GRID 4KW - 220V - 2 MPPT - AFCI (S6-GR1P4K-S),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 4KW - 220V - 2 MPPT - AFCI (S6-GR1P4K-S),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00301,SOLIS ON-GRID 3KW - 220V - 1 MPPT - AFCI (S6-GR1P3K-M),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 3KW - 220V - 1 MPPT - AFCI (S6-GR1P3K-M),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00286,SUNGROW ON-GRID 75KW - 220V - 7 MPPT - AFCI (SG75CX-LV),Sungrow,,,inverters,,,,,,,,,BRL,SUNGROW ON-GRID 75KW - 220V - 7 MPPT - AFCI (SG75CX-LV),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00266,SUNGROW ON-GRID 20KW - 380V - 2 MPPT - AFCI (SG20RT-P2),Sungrow,,,inverters,,,,,,,,,BRL,SUNGROW ON-GRID 20KW - 380V - 2 MPPT - AFCI (SG20RT-P2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00292,SOLIS ON-GRID 25KW - 380V - 3 MPPT - AFCI (S5-GC25K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 25KW - 380V - 3 MPPT - AFCI (S5-GC25K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00291,SOLIS ON-GRID 37.5KW - 380V - 4 MPPT - AFCI (S5-GC37.5K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 37.5KW - 380V - 4 MPPT - AFCI (S5-GC37.5K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00289,SOLIS ON-GRID 60KW - 380V - 6 MPPT - AFCI (S5-GC60K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 60KW - 380V - 6 MPPT - AFCI (S5-GC60K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00288,SOLIS ON-GRID 20KW - 380V - 2 MPPT - AFCI (S5-GR3P20K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 20KW - 380V - 2 MPPT - AFCI (S5-GR3P20K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00284,GROWATT MOD15KTL3-X2 - 380V -2 MPPT,Growatt,,,inverters,,,,,,,,,BRL,GROWATT MOD15KTL3-X2 - 380V -2 MPPT,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00252,GROWATT ON-GRID 3KW - 220V - 1 MPPT - AFCI (MIC3000TL-X2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 3KW - 220V - 1 MPPT - AFCI (MIC3000TL-X2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00214,HUAWEI  ON-GRID 250KW - 800V - 6 MPPT - AFCI (SUN2000-250KTL-H1),Huawei,,,inverters,,,,,,,,,BRL,HUAWEI  ON-GRID 250KW - 800V - 6 MPPT - AFCI (SUN2000-250KTL-H1),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00279,NEP CLIP FIXAÇÃO P/ RSD,Nep,,,inverters,,,,,,,,,BRL,NEP CLIP FIXAÇÃO P/ RSD,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00278,NEP CONTROLADOR DE TENSÃO MONIT. A NÍVEL DE MÓD. 1 P/ INVERSOR,Nep,,,inverters,,,,,,,,,BRL,NEP CONTROLADOR DE TENSÃO MONIT. A NÍVEL DE MÓD. 1 P/ INVERSOR,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00231,GROWATT ON-GRID 20KW - 380V - 2 MPPT - AFCI (MID20KTL3-X2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 20KW - 380V - 2 MPPT - AFCI (MID20KTL3-X2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00230,GROWATT ON-GRID 25KW - 380V - 2 MPPT - AFCI (MID 25KTL3-X2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 25KW - 380V - 2 MPPT - AFCI (MID 25KTL3-X2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00209,GROWATT NEO 2000M - X - 2000W - 220V,Growatt,,,inverters,,,,,,,,,BRL,GROWATT NEO 2000M - X - 2000W - 220V,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00241,GROWATT ON-GRID 10KW - 220V - 3 MPPT - AFCI (MIN10000TL-X2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 10KW - 220V - 3 MPPT - AFCI (MIN10000TL-X2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00271,FOXESS  ON-GRID 100KW - 380V - 9 MPPT - AFCI (R100),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 100KW - 380V - 9 MPPT - AFCI (R100),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00238,GROWATT ON-GRID 20KW - 220V - 4 MPPT - AFCI (MID20KTL3-XL2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 20KW - 220V - 4 MPPT - AFCI (MID20KTL3-XL2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00251,GROWATT ON-GRID 5KW - 220V - 2 MPPT - AFCI (MIN5000TL-X2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 5KW - 220V - 2 MPPT - AFCI (MIN5000TL-X2),,,,,,,,,,,
