avg_price,distributors_count,id_Fortlev,id_Fotus,id_Neosolar,inverter_manufacturer,max_price,min_price,panel_manufacturer,panel_power_w,price_Fortlev,price_Fotus,price_Neosolar,price_diff,price_diff_pct,system_kwp
14442.79,8,,,NEO-26783,,14800.61,14084.97,,620,,,14084.97,715.6400000000012,5.080876991573295,7.0
3311.633333333333,12,,,NEO-27153,,3417.42,3258.74,,0,,,3417.42,158.6800000000003,4.869366687738215,2.1
30432.845,6,,,NEO-26638,,31136.94,29728.75,,565,,,31136.94,1408.1899999999987,4.736795189841479,7.35
15532.695,2,fortlev_kit_161,,,,15878.62,15186.77,Risen,700,15878.62,,,691.8500000000004,4.55560991573587,11.2
4308.0,2,fortlev_kit_006,,,Growatt,4393.24,4222.76,Longi,585,4393.24,,,170.47999999999956,4.037170002557558,2.92
18160.955,2,fortlev_kit_190,,,,18496.03,17825.88,BYD,530,18496.03,,,670.1499999999978,3.7594216947494195,11.13
13633.533333333333,3,fortlev_kit_141,,,,13891.31,13428.97,,,13891.31,,,462.34000000000015,3.4428552599343076,11.59
21131.4325,4,fortlev_kit_204,,,,21522.39,20830.54,,,21522.39,,,691.8499999999985,3.321325323299341,10.93
14138.525,4,fortlev_kit_147,,,,14427.7,13965.37,Longi,585,14427.7,,,462.3299999999999,3.3105460148925516,11.7
16604.18,5,fortlev_kit_176,,,,16824.66,16304.21,,,16824.66,,,520.4500000000007,3.192120317390421,14.64
14742.8275,4,fortlev_kit_156,,,,15032.01,14569.67,Longi,630,15032.01,,,462.34000000000015,3.173304542930623,11.97
17139.41,5,fortlev_kit_182,,,,17359.89,16839.44,Longi,585,17359.89,,,520.4500000000007,3.0906609720988394,14.63
17443.966,5,fortlev_kit_187,,,,17664.45,17143.99,Longi,630,17664.45,,,520.4599999999991,3.035816049822702,14.49
8724.0625,4,fortlev_kit_089,,,,8832.1,8584.9,Longi,585,8832.1,,,247.20000000000073,2.8794744260271026,7.02
8726.8625,4,fortlev_kit_090,,,,8834.9,8587.7,,,8834.9,,,247.1999999999989,2.878535579957368,7.32
8846.2025,4,fortlev_kit_094,,,,8954.24,8707.04,Longi,630,8954.24,,,247.1999999999989,2.839081938293598,6.93
5887.22,2,fortlev_kit_036,,,,5968.22,5806.22,Risen,700,5968.22,,,162.0,2.7901112944394115,3.5
6329.719999999999,2,fortlev_kit_043,,,Growatt,6414.96,6244.48,,,6414.96,,,170.48000000000047,2.7300912165624758,2.88
19760.893333333333,3,fortlev_kit_199,,,,20002.0,19481.55,Risen,700,20002.0,,,520.4500000000007,2.671502010876962,14.7
18996.34,3,fortlev_kit_196,,,,19254.11,18791.78,BYD,530,19254.11,,,462.33000000000175,2.460277844887508,11.66
16463.86333333333,3,fortlev_kit_175,,,,16695.32,16311.93,Risen,700,16695.32,,,383.3899999999994,2.3503656526235672,11.9
2507.39,2,,,NEO-23702,,2535.66,2479.12,,200,,,2535.66,56.539999999999964,2.2806479718609816,40.0
23519.322500000002,4,fortlev_kit_213,,,,23748.43,23227.97,BYD,530,23748.43,,,520.4599999999991,2.240660720674252,14.84
3880.56,2,fortlev_kit_004,,,Growatt,3923.18,3837.94,Risen,700,3923.18,,,85.23999999999978,2.2209831315757875,2.8
