sku,has_images,image_count,primary_url,all_urls,categories,total_size_bytes,formats
"IIN00369",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00369.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00369.png","FORTLEV",128191,"png"
"IIN00370",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00370.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00370.png","FORTLEV",41921,"png"
"IIN00371",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00371.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00371.png","FORTLEV",111830,"png"
"IIN00376V2",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00376_v2.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00376_v2.png","FORTLEV",34701,"png"
"IIN00377",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00377.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00377.png","FORTLEV",37409,"png"
"IIN00378",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00378.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00378.png","FORTLEV",40507,"png"
"IIN00379",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00379.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00379.png","FORTLEV",37334,"png"
"IIN00380",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00380.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00380.png","FORTLEV",40824,"png"
"IIN00381",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00381.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00381.png","FORTLEV",40650,"png"
"IIN00382",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00382.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00382.png","FORTLEV",40443,"png"
"IIN00383",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00383.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00383.png","FORTLEV",40762,"png"
"IIN00384",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00384.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00384.png","FORTLEV",44751,"png"
"IIN00386",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00386.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00386.png","FORTLEV",46767,"png"
"ILS00003",true,1,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00003.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00003.png","UNKNOWN-MANUFACTURER",37258,"png"
"ILS00004",true,1,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00004.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00004.png","UNKNOWN-MANUFACTURER",55900,"png"
"ILS00008",true,1,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00008.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00008.png","UNKNOWN-MANUFACTURER",13026,"png"
"ILS00009",true,1,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00009.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00009.png","UNKNOWN-MANUFACTURER",83621,"png"
"ILS00010",true,1,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00010.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00010.png","UNKNOWN-MANUFACTURER",111680,"png"
"ILS00012",true,1,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00012.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00012.png","UNKNOWN-MANUFACTURER",28333,"png"
