sku,primary_image,all_images,source,score,price_brl,gross_margin_percent,weight_kg,candidate_urls
"NEOSOLARKITS26971","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26971.jpg","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26971.jpg|neosolar_kits_26971.jpg","imgs-index",100,11164.99,20,0,"https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26971.jpg|[object Object]"
"FOTUSKP03426KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-426kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-426kWp-Fibrocimento-kits.jpg|FOTUS-KP03-426kWp-Fibrocimento-kits.jpg","imgs-index",100,11154.49,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-426kWp-Fibrocimento-kits.jpg|[object Object]"
"124358","https://cdn.yellosolarhub.com/products/estruturas/124358.jpg","https://cdn.yellosolarhub.com/products/estruturas/124358.jpg|124358.jpg","imgs-index",100,11140.95,20,0,"https://cdn.yellosolarhub.com/products/estruturas/124358.jpg|[object Object]"
"192068","https://cdn.yellosolarhub.com/products/stringboxes/192068.jpg","https://cdn.yellosolarhub.com/products/stringboxes/192068.jpg|192068.jpg","imgs-index",100,11135.49,20,0,"https://cdn.yellosolarhub.com/products/stringboxes/192068.jpg|[object Object]"
"FOTUSKP02142KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-142kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-142kWp-Ceramico-kits.jpg|FOTUS-KP02-142kWp-Ceramico-kits.jpg","imgs-index",100,11115.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-142kWp-Ceramico-kits.jpg|[object Object]"
"NEOSOLARINVERTERS26768","https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_26768.jpg","https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_26768.jpg|NEOSOLAR_INVERTERS_26768.jpg","imgs-index",100,11114.99,20,0,"https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_26768.jpg|[object Object]"
"ILS00003","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00003.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00003.png|ILS00003.png","imgs-index",100,11112.99,20,0,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00003.png|[object Object]"
"FOTUSKP04360KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-360kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-360kWp-MiniTrilho-kits.jpg|FOTUS-KP04-360kWp-MiniTrilho-kits.jpg","imgs-index",100,11088,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-360kWp-MiniTrilho-kits.jpg|[object Object]"
"ODEXODEXINVSOLAX10000W","https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SOLAX-10000W.jpg","https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SOLAX-10000W.jpg|ODEX-ODEX-INV-SOLAX-10000W.jpg","imgs-index",100,11082.99,20,0,"https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SOLAX-10000W.jpg|[object Object]"
"NEOSOLARINVERTERS20666","https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_20666.jpg","https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_20666.jpg|neosolar_inverters_20666.jpg","imgs-index",100,11082.95,20,0,"https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_20666.jpg|[object Object]"
"IMAGEPRODUCT600388","https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600388.png","https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600388.png|IMAGE_PRODUCT_600388.png","imgs-index",100,11070.99,20,0,"https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600388.png|[object Object]"
"SKU29243329243317459162631168039","https://cdn.yellosolarhub.com/products/inversores/sku_292433_292433-17459162631168039.jpeg","https://cdn.yellosolarhub.com/products/inversores/sku_292433_292433-17459162631168039.jpeg|sku_292433_292433-17459162631168039.jpeg","imgs-index",100,11066,20,0,"https://cdn.yellosolarhub.com/products/inversores/sku_292433_292433-17459162631168039.jpeg|[object Object]"
"SKU14576314576317456925994814488","https://cdn.yellosolarhub.com/products/inversores/sku_145763_145763-17456925994814488.jpeg","https://cdn.yellosolarhub.com/products/inversores/sku_145763_145763-17456925994814488.jpeg|sku_145763_145763-17456925994814488.jpeg","imgs-index",100,11061.49,20,0,"https://cdn.yellosolarhub.com/products/inversores/sku_145763_145763-17456925994814488.jpeg|[object Object]"
"DEYESUN25KG02LVIMAGE","https://cdn.yellosolarhub.com/products/inversores/DEYE-SUN-25K-G02-LV_image.png","https://cdn.yellosolarhub.com/products/inversores/DEYE-SUN-25K-G02-LV_image.png|DEYE-SUN-25K-G02-LV_image.png","imgs-index",100,11052,20,0,"https://cdn.yellosolarhub.com/products/inversores/DEYE-SUN-25K-G02-LV_image.png|[object Object]"
