sku,primary_image,all_images,source,score,price_brl,gross_margin_percent,weight_kg,candidate_urls
"FOTUSKP021065KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg","imgs-index",100,8196.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg|[object Object]"
"FOTUSKP041026KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Ceramico-kits.jpg|FOTUS-KP04-1026kWp-Ceramico-kits.jpg","imgs-index",100,5718.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP041026KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg","imgs-index",100,979.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP041026KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg","imgs-index",100,210.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg|[object Object]"
"FOTUSKP04840KWPCERAMICOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg|FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg","imgs-index",100,10205.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg|[object Object]"
"FOTUSKP04840KWPFIBROCIMENTOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg|FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg","imgs-index",100,11694,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg|[object Object]"
"FOTUSKP04840KWPMINITRILHOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg|FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg","imgs-index",100,7709,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg|[object Object]"
"FOTUSKP02994KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Ceramico-kits.jpg|FOTUS-KP02-994kWp-Ceramico-kits.jpg","imgs-index",100,4525,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP02994KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Fibrocimento-kits.jpg|FOTUS-KP02-994kWp-Fibrocimento-kits.jpg","imgs-index",100,11811.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP02994KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-MiniTrilho-kits.jpg|FOTUS-KP02-994kWp-MiniTrilho-kits.jpg","imgs-index",100,2648.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-MiniTrilho-kits.jpg|[object Object]"
